2025-05-31 18:17:12,103 | INFO | m00-backend | Iniciando m00-backend
2025-05-31 18:17:12,103 | INFO | m00-backend | === Teste de gravação em arquivo de log ===
2025-05-31 18:17:30,253 | INFO | m00-backend | Iniciando m00-backend
2025-05-31 18:17:30,253 | INFO | m00-backend | === Teste de gravação em arquivo de log ===
2025-05-31 18:17:30,698 | ERROR | m00-backend | HTTP error 401 em http://testserver/auth/token: Usuário ou senha incorretos
2025-05-31 18:17:31,620 | INFO | m00-backend | Rota raiz acessada
2025-05-31 18:17:31,629 | ERROR | m00-backend | HTTP error 404 em http://testserver/tasks/: Not Found
2025-05-31 18:17:31,630 | ERROR | m00-backend | HTTP error 404 em http://testserver/tasks/: Not Found
2025-05-31 18:19:58,806 | INFO | m00-backend | Iniciando m00-backend
2025-05-31 18:19:58,807 | INFO | m00-backend | === Teste de gravação em arquivo de log ===
2025-05-31 18:20:17,828 | INFO | m00-backend | Iniciando m00-backend
2025-05-31 18:20:17,828 | INFO | m00-backend | === Teste de gravação em arquivo de log ===
2025-05-31 18:20:18,280 | ERROR | m00-backend | HTTP error 401 em http://testserver/auth/token: Usuário ou senha incorretos
2025-05-31 18:20:19,214 | INFO | m00-backend | Rota raiz acessada
2025-05-31 18:20:19,254 | ERROR | m00-backend | HTTP error 405 em http://testserver/tasks/2: Method Not Allowed
2025-05-31 18:22:51,046 | INFO | m00-backend | Iniciando m00-backend
2025-05-31 18:22:51,046 | INFO | m00-backend | === Teste de gravação em arquivo de log ===
2025-05-31 18:23:08,099 | INFO | m00-backend | Iniciando m00-backend
2025-05-31 18:23:08,099 | INFO | m00-backend | === Teste de gravação em arquivo de log ===
2025-05-31 18:23:08,546 | ERROR | m00-backend | HTTP error 401 em http://testserver/auth/token: Usuário ou senha incorretos
2025-05-31 18:23:09,453 | INFO | m00-backend | Rota raiz acessada
2025-05-31 18:23:09,529 | ERROR | m00-backend | HTTP error 404 em http://testserver/tasks/4: Task não encontrada
